stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url
PI44,PI44,PI44-Parada 5 / 5 De Abril   Las Rejas,-33.4651764880372,-70.7061289083036,
PI45,PI45,PI45-Avenida Las Rejas Esq. / Psje. Las Rejas -Sur,-33.461960385366,-70.7052169717796,
PI46,PI46,PI46-Parada 1 / (M) Las Rejas,-33.4577114349481,-70.7054829995442,
PI47,PI47,PI47-Avenida Las Rejas Esq. / Embajador Quintana,-33.4522775044149,-70.7062328373233,
PI48,PI48,PI48-Avenida Las Rejas Esq. / Avenida Dorsal,-33.4497039491114,-70.7069363380615,
PJ19,PJ19,PJ19-Avenida Las Rejas Esq. / Nueva Imperial,-33.44671939249,-70.707256953702,
PJ20,PJ20,PJ20-Avenida Las Rejas Esq. / Catedral,-33.4441517212,-70.7072979679022,
PJ21,PJ21,PJ21-Parada 4 / (M) Blanqueado,-33.4416743609372,-70.7072510404046,
PJ22,PJ22,PJ22-Sergio Valdovinos Esq. / Manso De Velasco,-33.4387134452747,-70.7070537357885,
PJ23,PJ23,PJ23-Sergio Valdovinos Esq. / Vicuña Rozas,-33.4363993892403,-70.7070600400245,
PJ24,PJ24,PJ24-Parada 3 / Las Rejas   José J. Pérez,-33.4333893809523,-70.7071070337908,
PJ25,PJ25,PJ25-Sergio Valdovinos Esq. / Cónsul Poinsett,-33.4294243699066,-70.7066289656335,
PJ26,PJ26,PJ26-Radal Esq. / Padre Tadeo,-33.4276424022348,-70.703752038526,
PJ27,PJ27,PJ27-Radal Esq. / Salvador Gutiérrez,-33.4249312058408,-70.7029499877096,
PJ28,PJ28,PJ28-Parada 4 / Escuela Lo Franco,-33.4209944907885,-70.7018219807302,
PJ29,PJ29,PJ29-Lo Espinoza Esq. / Oscar Chanks,-33.417909426634,-70.7036610334043,
PJ30,PJ30,PJ30-Lo Espinoza Esq. / Los Sauces,-33.4151093895527,-70.7048720393564,
PJ31,PJ31,PJ31-Lo Espinoza Esq. / Platón,-33.4115604138113,-70.7064210274678,
PJ32,PJ32,PJ32-Lo Espinoza Esq. / Samuel Izquierdo,-33.4097643717385,-70.7072179584379,
PB25,PB25,PB25-Parada 2 / Plaza Renca,-33.4048643952545,-70.7036170427937,
PB26,PB26,PB26-Senador Jaime Guzmán Esq. / Caupolicán,-33.4028954636133,-70.7023629733923,
PB27,PB27,PB27-Senador Jaime Guzmán Esq. / Apóstol Santiago,-33.40078662774,-70.6987506165515,
PB28,PB28,PB28-Senador Jaime Guzmán Esq. / Colón,-33.4001906145127,-70.6947930101929,
PB29,PB29,PB29-Senador Jaime Guzmán Esq. / Camino Lo Ruiz,-33.4025017651773,-70.6872440335536,
PB31,PB31,PB31-Parada 3 / Norte Sur   Dorsal,-33.4031845755826,-70.6825396174643,
PB32,PB32,PB32-14 De La Fama Esq. / Bn. De Juras Reales,-33.4014505816085,-70.6768962449523,
PB1586,PB1586,PB1586-14 De La Fama Esq. / Av. Fermín Vivaceta,-33.3998800917396,-70.6725765416085,
PB35,PB35,PB35-Parada 3 / Dorsal   Independencia,-33.3982895767466,-70.6699327816424,
PB36,PB36,PB36-Avenida Dorsal Esq. / Pasaje Barnechea,-33.3971996422944,-70.6662406284023,
PB37,PB37,PB37-Avenida Dorsal Esq. / Francisco Hinojosa,-33.3965881567145,-70.6623699587395,
